WOJEWODZTWO,MARKA,LICZBA
ŚLĄSKIE,DATSUN,1
ŚLĄSKIE,DODGE,17
ŚLĄSKIE,DS,6
ŚLĄSKIE,FIAT,332
ŚLĄSKIE,FORD,622
ŚLĄSKIE,FORD-CNG-TECHNIK,1
ŚLĄSKIE,GM DAEWOO,1
ŚLĄSKIE,HONDA,87
ŚLĄSKIE,HYUNDAI,377
ŚLĄSKIE,INFINITI,2
ŚLĄSKIE,IVECO,1
ŚLĄSKIE,JAGUAR,21
ŚLĄSKIE,JEEP,73
ŚLĄSKIE,KIA,492
ŚLĄSKIE,LANCIA,8
ŚLĄSKIE,LAND ROVER,28
ŚLĄSKIE,LEXUS,89
ŚLĄSKIE,MAN/V-VAN,1
ŚLĄSKIE,MASERATI,7
ŚLĄSKIE,MAZDA,206
ŚLĄSKIE,MERCEDES,2
ŚLĄSKIE,MERCEDES-AMG,1
ŚLĄSKIE,MERCEDES-BENZ,293
ŚLĄSKIE,MG,1
ŚLĄSKIE,MINI,44
ŚLĄSKIE,MITSUBISHI,57
ŚLĄSKIE,NISSAN,151
ŚLĄSKIE,OLTCIT,1
ŚLĄSKIE,OPEL,681
ŚLĄSKIE,PEUGEOT,335
ŚLĄSKIE,PONTIAC,1
ŚLĄSKIE,PORSCHE,52
ŚLĄSKIE,RAM,1
ŚLĄSKIE,RENAULT,435
ŚLĄSKIE,RENAULT/CARPOL,24
ŚLĄSKIE,SAAB,5
ŚLĄSKIE,SEAT,184
ŚLĄSKIE,SKODA,519
ŚLĄSKIE,SMART,10
ŚLĄSKIE,SSANGYONG,17
ŚLĄSKIE,SUBARU,24
ŚLĄSKIE,SUZUKI,167
ŚLĄSKIE,TESLA,8
ŚLĄSKIE,TOYOTA,906
ŚLĄSKIE,VAUXHALL,2
ŚLĄSKIE,VOLKSWAGEN,595
ŚLĄSKIE,VOLVO,185
ŚWIĘTOKRZYSKIE,ALFA ROMEO,17
ŚWIĘTOKRZYSKIE,AUDI,228
ŚWIĘTOKRZYSKIE,BMW,176
ŚWIĘTOKRZYSKIE,BUICK,1
ŚWIĘTOKRZYSKIE,CADILLAC,1
ŚWIĘTOKRZYSKIE,CHEVROLET,14
ŚWIĘTOKRZYSKIE,CHRYSLER,4
ŚWIĘTOKRZYSKIE,CITROEN,126
ŚWIĘTOKRZYSKIE,CUPRA,8
ŚWIĘTOKRZYSKIE,DACIA,30
ŚWIĘTOKRZYSKIE,DAEWOO,1
